waypoint_id,x,y
880,-483.0,203.0
881,-485.0,203.0
882,-487.0,203.0
883,-489.0,203.0
884,-491.0,203.0
885,-493.0,203.0
886,-495.0,203.0
887,-497.0,203.0
888,-499.0,203.0
889,-501.0,203.0
890,-503.0,203.0
891,-505.0,203.0
892,-507.0,203.0
893,-509.0,203.0
894,-511.0,203.0
895,-513.0,203.0
896,-515.0,203.0
897,-517.0,203.0
898,-519.0,203.0
899,-521.0,203.0
900,-523.0,203.0
901,-525.0,203.0
902,-527.0,203.0
903,-529.0,203.0
904,-531.0,203.0
905,-533.0,203.0
906,-535.0,203.0
907,-537.0,203.0
908,-539.0,203.0
909,-541.0,203.0
910,-543.0,203.0
911,-545.0,203.0
912,-547.0,203.0
913,-549.0,203.0
914,-551.0,203.0
915,-553.0,203.0
916,-555.0,203.0
917,-557.0,203.0
918,-559.0,203.0
919,-561.0,203.0
920,-561.0,205.0
921,-561.0,207.0
922,-559.0,207.0
923,-557.0,207.0
924,-555.0,207.0
925,-553.0,207.0
926,-551.0,207.0
927,-549.0,207.0
928,-547.0,207.0
929,-545.0,207.0
930,-543.0,207.0
931,-541.0,207.0
932,-539.0,207.0
933,-537.0,207.0
934,-535.0,207.0
935,-533.0,207.0
936,-531.0,207.0
937,-529.0,207.0
938,-527.0,207.0
939,-525.0,207.0
940,-523.0,207.0
941,-521.0,207.0
942,-519.0,207.0
943,-517.0,207.0
944,-515.0,207.0
945,-513.0,207.0
946,-511.0,207.0
947,-509.0,207.0
948,-507.0,207.0
949,-505.0,207.0
950,-503.0,207.0
951,-501.0,207.0
952,-499.0,207.0
953,-497.0,207.0
954,-495.0,207.0
955,-493.0,207.0
956,-491.0,207.0
957,-489.0,207.0
958,-487.0,207.0
959,-485.0,207.0
960,-483.0,207.0
961,-481.0,207.0
962,-479.0,207.0
963,-477.0,207.0
964,-475.0,207.0
965,-473.0,207.0
966,-471.0,207.0
967,-469.0,207.0
968,-467.0,207.0
969,-465.0,207.0
970,-463.0,207.0
971,-461.0,207.0
972,-459.0,207.0
973,-457.0,207.0
974,-455.0,207.0
975,-453.0,207.0
976,-451.0,207.0
977,-449.0,207.0
978,-447.0,207.0
979,-445.0,207.0
980,-443.0,207.0
981,-441.0,207.0
982,-439.0,207.0
983,-437.0,207.0
984,-435.0,207.0
985,-433.0,207.0
986,-431.0,207.0
987,-429.0,207.0
988,-427.0,207.0
989,-425.0,207.0
990,-423.0,207.0
991,-421.0,207.0
992,-419.0,207.0
993,-417.0,207.0
994,-415.0,207.0
995,-413.0,207.0
996,-413.0,209.0
997,-413.0,211.0
998,-415.0,211.0
999,-417.0,211.0
1000,-419.0,211.0
1001,-421.0,211.0
1002,-423.0,211.0
1003,-425.0,211.0
1004,-427.0,211.0
1005,-429.0,211.0
1006,-431.0,211.0
1007,-433.0,211.0
1008,-435.0,211.0
1009,-437.0,211.0
1010,-439.0,211.0
1011,-441.0,211.0
1012,-443.0,211.0
1013,-445.0,211.0
1014,-447.0,211.0
1015,-449.0,211.0
1016,-451.0,211.0
1017,-453.0,211.0
1018,-455.0,211.0
1019,-457.0,211.0
1020,-459.0,211.0
1021,-461.0,211.0
1022,-463.0,211.0
1023,-465.0,211.0
1024,-467.0,211.0
1025,-469.0,211.0
1026,-471.0,211.0
1027,-473.0,211.0
1028,-475.0,211.0
1029,-477.0,211.0
1030,-479.0,211.0
1031,-481.0,211.0
1032,-483.0,211.0
1033,-485.0,211.0
1034,-487.0,211.0
1035,-489.0,211.0
1036,-491.0,211.0
1037,-493.0,211.0
1038,-495.0,211.0
1039,-497.0,211.0
1040,-499.0,211.0
1041,-501.0,211.0
1042,-503.0,211.0
1043,-505.0,211.0
1044,-507.0,211.0
1045,-509.0,211.0
1046,-511.0,211.0
1047,-513.0,211.0
1048,-515.0,211.0
1049,-517.0,211.0
1050,-519.0,211.0
1051,-521.0,211.0
1052,-523.0,211.0
1053,-525.0,211.0
1054,-527.0,211.0
1055,-529.0,211.0
1056,-531.0,211.0
1057,-533.0,211.0
1058,-535.0,211.0
1059,-537.0,211.0
1060,-539.0,211.0
1061,-541.0,211.0
1062,-543.0,211.0
1063,-545.0,211.0
1064,-547.0,211.0
1065,-549.0,211.0
1066,-551.0,211.0
1067,-553.0,211.0
1068,-555.0,211.0
1069,-557.0,211.0
1070,-559.0,211.0
1071,-561.0,211.0
1072,-561.0,213.0
1073,-561.0,215.0
1074,-559.0,215.0
1075,-557.0,215.0
1076,-555.0,215.0
1077,-553.0,215.0
1078,-551.0,215.0
1079,-549.0,215.0
1080,-547.0,215.0
1081,-545.0,215.0
1082,-543.0,215.0
1083,-541.0,215.0
1084,-539.0,215.0
1085,-537.0,215.0
1086,-535.0,215.0
1087,-533.0,215.0
1088,-531.0,215.0
1089,-529.0,215.0
1090,-527.0,215.0
1091,-525.0,215.0
1092,-523.0,215.0
1093,-521.0,215.0
1094,-519.0,215.0
1095,-517.0,215.0
1096,-515.0,215.0
1097,-513.0,215.0
1098,-511.0,215.0
1099,-509.0,215.0
1100,-507.0,215.0
1101,-505.0,215.0
1102,-503.0,215.0
1103,-501.0,215.0
1104,-499.0,215.0
1105,-497.0,215.0
1106,-495.0,215.0
1107,-493.0,215.0
1108,-491.0,215.0
1109,-489.0,215.0
1110,-487.0,215.0
1111,-485.0,215.0
1112,-483.0,215.0
1113,-481.0,215.0
1114,-479.0,215.0
1115,-477.0,215.0
1116,-475.0,215.0
1117,-473.0,215.0
1118,-471.0,215.0
1119,-469.0,215.0
1120,-467.0,215.0
1121,-465.0,215.0
1122,-463.0,215.0
1123,-461.0,215.0
1124,-459.0,215.0
1125,-457.0,215.0
1126,-455.0,215.0
1127,-453.0,215.0
1128,-451.0,215.0
1129,-449.0,215.0
1130,-447.0,215.0
1131,-445.0,215.0
1132,-443.0,215.0
1133,-441.0,215.0
1134,-439.0,215.0
1135,-437.0,215.0
1136,-435.0,215.0
1137,-433.0,215.0
1138,-431.0,215.0
1139,-429.0,215.0
1140,-427.0,215.0
1141,-425.0,215.0
1142,-423.0,215.0
1143,-421.0,215.0
1144,-419.0,215.0
1145,-417.0,215.0
1146,-415.0,215.0
1147,-413.0,215.0
1148,-413.0,217.0
1149,-413.0,219.0
1150,-415.0,219.0
1151,-417.0,219.0
1152,-419.0,219.0
1153,-421.0,219.0
1154,-423.0,219.0
